tof,sweep
55445285.8,0
55445685.3,0
55447135.7,0
55447223.9,0
55447116.2,1
55447175.1,1
55447190.9,1
55447244.4,1
55445224.0,2
55445244.4,3
55445249.2,3
55447188.7,3
55447196.2,3
55447198.7,3
55447205.6,3
55447330.2,3
55445200.1,4
55445214.1,4
55447169.0,4
55447222.4,4
55447226.5,4
55440954.8,5
55447121.3,5
55447250.0,5
55447137.8,6
55447139.4,6
55447200.4,6
55447204.7,6
55447286.0,6
55445296.9,7
55447173.6,7
55445259.0,8
55447120.1,8
55447158.1,8
55445009.7,9
55447090.2,9
55447117.5,9
55447132.0,9
55447045.9,10
55447183.2,10
55447239.5,10
55445881.9,11
55447199.5,11
55447250.4,11
55445206.2,12
55445222.4,12
55445252.1,12
55447181.8,12
55447193.6,12
55447669.8,12
55445199.3,13
55445252.5,13
55445275.7,13
55447172.0,13
55447241.6,13
55445182.5,14
55447115.3,14
55447122.1,14
55447165.6,14
55447207.5,15
55447225.3,15
55445192.1,16
55445284.5,16
55447105.1,16
55447158.2,16
55447197.2,16
55447211.7,16
55445204.1,17
55445253.4,17
55447114.7,17
55447131.8,17
55447133.0,17
55447135.5,17
55447208.4,17
55447227.0,17
55445254.3,18
55447183.7,18
55447081.8,19
55447148.9,19
55447163.8,19
55447181.8,19
55447204.9,19
55445196.5,20
55447181.3,20
55445128.7,21
55445254.1,21
55447136.9,21
55447186.7,21
55447190.5,21
55447196.2,21
55447216.3,21
55447252.0,21
55447147.6,22
55447175.6,22
55447195.4,22
55447197.2,22
55447202.7,22
55447209.2,22
55445199.3,23
55445234.5,23
55447167.9,23
55447401.5,23
55445248.0,24
55447160.4,24
55447239.4,24
55445187.2,25
55447172.8,25
55447284.1,25
55445183.0,26
55445420.6,26
55447175.2,26
55447215.1,26
55447071.2,27
55447171.9,27
55445180.8,28
55447198.0,28
55447230.6,28
55447077.3,29
55447262.7,29
55445221.4,30
55447054.5,30
55447071.6,30
55447117.1,30
55447134.2,30
55447216.4,30
55447087.2,31
55447138.7,31
55447156.7,31
55447165.1,31
55447299.3,31
55445146.9,32
55447154.5,32
55447156.6,32
55447167.4,32
55447180.3,33
55447646.4,33
55447120.7,34
55447157.5,34
55447279.2,34
55445200.0,35
55445544.1,35
55445611.6,35
55445316.1,36
55447120.6,36
55447180.6,36
55447240.8,36
55447172.0,37
55445469.4,38
55447133.4,38
55447161.8,38
55447165.4,38
55447173.8,38
55447183.8,38
55445200.5,39
55445241.9,39
55447138.1,39
55447143.6,39
55447206.8,39
55445224.7,40
55447160.6,40
55447182.4,40
55447123.0,41
55447175.7,41
55445233.4,42
55445340.9,42
55447116.3,42
55447122.8,42
55447201.9,42
55447222.8,42
55447170.0,43
55447176.0,43
55447196.4,43
55447199.5,43
55447218.9,43
55445440.1,44
55445754.6,44
55447132.8,44
55447161.7,44
55447185.3,44
55447230.4,44
55447157.0,45
55447167.6,45
55447216.4,45
55447290.5,45
55445138.9,46
55445224.8,46
55445288.0,46
55447059.3,46
55445202.2,47
55447223.0,47
55445245.4,48
55445283.6,48
55447160.7,48
55447165.6,48
55445275.1,49
55447215.5,49
55447240.2,49
55447268.0,49
55447141.4,50
55447151.8,50
55447182.5,50
55447184.2,50
55447215.5,50
55447231.2,50
55445170.1,51
55447108.4,51
55447118.6,51
55447161.9,51
55447181.6,51
55447192.8,51
55445291.0,52
55447219.1,52
55447238.0,52
55445274.9,53
55447211.4,53
55447160.7,54
55447163.7,54
55447187.9,54
55447199.1,54
55447206.4,54
55447226.8,54
55445214.8,55
55445221.5,55
55447137.7,55
55447156.4,55
55447176.1,55
55447188.4,55
55445177.9,56
55445232.7,56
55445235.4,56
55445250.5,56
55447069.7,56
55447175.6,57
55447242.9,57
55448260.4,57
55445247.4,58
55447225.5,58
55445686.9,59
55447289.4,59
55445208.1,60
55447170.0,60
55447173.5,60
55447201.6,60
55447189.4,61
55447206.8,61
55447306.9,61
55447137.5,62
55447181.9,62
55447200.1,62
55447210.1,62
55447240.5,62
55447054.7,63
55447155.1,63
55447262.2,63
55445272.9,64
55447191.0,64
55447243.9,64
55445249.3,65
55445284.1,65
55447152.9,65
55447216.0,65
55445219.8,66
55445224.1,66
55447106.4,66
55447109.7,66
55447136.5,66
55447177.6,66
55447205.9,66
55447101.4,67
55447165.4,67
55447169.2,67
55447257.1,67
55447184.0,68
55447217.6,68
55445225.4,69
55447157.7,69
55447186.9,69
55447193.1,69
55447237.4,69
55447262.9,69
55447820.9,69
55447158.2,70
55447196.7,70
55447220.6,70
55445238.8,71
55447158.1,71
55447187.9,71
55445248.1,72
55447137.2,72
55447166.7,72
55447178.8,72
55445160.6,73
55445229.1,73
55445239.4,73
55447078.6,73
55447125.1,73
55447216.9,73
55447134.2,74
55447145.3,74
55447192.5,74
55447255.3,74
55447195.0,75
55445234.9,76
55445238.8,76
55445293.9,76
55447134.5,76
55447191.9,76
55445189.3,77
55445217.4,77
55447173.2,77
55447189.5,77
55447221.6,77
55447117.2,78
55447168.8,78
55447181.8,78
55447220.1,78
55447174.1,79
55447194.0,79
55445264.8,80
55447149.2,80
55447153.2,80
55447210.2,80
55447253.2,80
55447125.0,81
55447168.7,81
55447182.0,81
55445233.6,82
55447061.4,82
55447071.4,82
55447121.5,82
55447175.5,82
55447263.6,82
55447048.4,83
55447150.4,83
55447172.7,83
55447181.1,83
55447239.2,83
55447452.9,83
55447172.4,84
55447176.3,84
55447275.4,84
55445305.3,85
55447152.0,85
55447194.7,85
55447229.9,85
55447262.3,85
55445296.3,86
55447114.8,86
55447195.8,86
55445306.2,87
55447169.9,87
55447210.4,87
55447178.1,88
55445972.0,89
55447131.0,89
55447176.9,89
55447058.8,90
55447150.5,90
55445214.0,91
55445241.1,91
55447190.9,91
55447207.7,91
55447104.3,92
55447185.0,92
55445176.6,93
55447144.4,93
55447196.5,93
55447223.2,93
55445206.4,94
55445265.7,95
55447188.9,95
55445299.2,96
55445356.2,96
55447135.8,96
55447194.2,96
55447202.4,96
55447205.7,96
55447222.6,97
55445257.5,98
55447146.9,98
55447177.8,98
55447259.9,98
55447273.1,98
55445174.2,99
55445201.7,99
55447232.1,99
55447240.0,99
55447145.3,100
55447150.7,100
55447172.0,100
55447214.5,100
55445213.7,101
55445232.8,101
55447115.7,101
55447184.1,101
55445222.9,104
55445561.5,104
55447139.0,104
55447188.6,104
55447202.8,104
55447222.6,104
55447240.1,104
55445206.9,105
55445730.7,105
55447193.3,105
55447130.8,106
55447179.1,106
55445260.2,107
55447135.1,107
55447175.3,107
55445208.9,108
55447086.7,108
55447193.8,108
55447197.2,108
55445241.4,109
55447171.8,109
55447222.7,109
55447235.8,109
55445145.7,110
55447120.7,110
55447133.1,110
55447179.2,110
55447220.2,110
55447187.7,111
55447202.2,111
55447125.0,112
55447134.2,112
55447167.0,112
55447203.5,112
55447205.6,112
55442858.8,113
55447164.2,113
55447168.3,113
55447172.4,113
55447186.6,113
55447205.8,113
55447130.0,114
55447182.1,114
55447203.0,114
55447278.7,114
55447295.1,114
55445220.1,115
55447058.3,115
55447161.3,115
55447167.8,115
55447181.3,115
55447236.8,115
55445212.0,116
55445236.5,116
55447089.7,116
55447163.3,116
55447208.6,116
55445221.5,117
55445248.5,117
55445509.8,117
55447151.2,117
55445342.8,118
55446450.5,118
55447175.0,118
55447194.9,118
55447216.3,118
55448077.5,118
55445114.2,119
55445160.2,119
55445198.6,119
55447142.4,119
55447200.6,119
55447209.6,119
55447096.8,120
55447106.7,120
55447197.6,120
55445169.6,121
55447188.4,121
55447335.0,121
55447154.7,122
55447193.2,122
55447127.1,123
55447163.8,123
55447169.8,123
55447200.0,123
55447150.9,124
55447155.5,124
55447190.4,124
55447160.9,125
55447225.6,125
55445187.4,126
55445251.1,126
55447141.9,126
55447192.8,126
55445227.5,128
55447121.4,128
55447135.1,128
55447169.5,128
55445211.4,129
55447114.1,129
55447170.4,129
55447165.4,130
55447214.5,130
55445154.0,131
55447152.0,131
55447170.4,131
55447274.8,131
55445200.1,132
55445236.4,132
55445270.8,132
55447159.2,132
55447169.3,132
55447205.7,132
55445219.8,133
55445242.1,133
55447158.8,133
55447196.1,133
55447195.1,134
55447207.3,134
55447216.4,134
55447235.0,134
55447254.3,134
55445212.2,135
55445247.8,135
55447197.6,135
55447084.0,136
55447167.1,136
